Title,Release_date,Rating_num,Pop
中二病也要谈恋爱！剧场版 -Take On Me- 映画 中二病でも恋がしたい！ -Take On Me-,2018,8.4,96
小林家的龙女仆 小林さんちのメイドラゴン,2017,8.5,9176
紫罗兰永恒花园 ヴァイオレット・エヴァーガーデン,2018,8.5,13761
吹响悠风号：欢迎来到北宇治高中吹奏乐部 劇場版 響け！ユーフォニアム～北宇治高校吹奏楽部へようこそ～,2016,8.3,605
中二病でも恋がしたい！,2014,,<10
中二病でも恋がしたい! 2,2011,7.5,1
中二病でも恋がしたい!,2011,6.4,21
境界の彼方 3,2013,,<10
境界の彼方 2,2013,,<10
境界の彼方 1,2012,7.6,77
吹响悠风号 TV未放送回 響け！ユーフォニアム かけだすモナカ,2015,8.9,5
吹响悠风号2 響け！ユーフォニアム2,2016,9.2,6
声之形 聲の形,2016,6.8,11
无彩限的怪灵世界 無彩限のファントム・ワールド,2016,6.3,927
境界的彼方 剧场版 过去篇 劇場版 境界の彼方 I’LL BE HERE 過去篇,2015,7.3,3012
境界的彼方 剧场版 未来篇 劇場版 境界の彼方 I’LL BE HERE 未来篇,2015,7.5,57225
南之岛的德拉酱 南の島のデラちゃん,2014,7.3,1206
MUNTO～穿越时空之壁 MUNTO 時の壁を越えて,2005,7,1104
吹响悠风号特典：吹奏乐部的日常 響け! ユーフォニアム 映像特典 吹奏楽部の日常,2015,8.1,2315
High☆Speed! -Free! Starting Days- 映画 ハイ☆スピード！ Free! Starting Days,2015,7.7,151
战队长悠哉游哉的一天 わりとヒマな戦隊長の一日,2006,8,109
青空夏季篇 后篇：天地 AIR in Summer 後編 あめつち,2005,8.2,523
青空夏季篇 前篇：山路 AIR in Summer 前編 やまみち,2005,8.3,954
日常の0話,2011,8.3,2583
仰望天空的少女瞳中映照的世界 空を見上げる少女の瞳に映る世界,2009,6.3,447
剧场版MUNTO 天上人与阿库多人最后之战 天上人とアクト人 最後の戦い,2009,6.1,77
魔导国 MUNTO,2003,7.1,174
Free! 第二季 Extra Fr Free! -Eternal Summer- Extra Fr 禁断のオールハード！,2015,8.3,774
Free!,2013,7.6,14817
Free! 第二季 Free! -Eternal Summer-,2014,7.8,5419
Free! 特典 FrFr! 〜Free! short movie〜,2013,8.6,1156
中二病也要谈恋爱！恋 SP 中二病でも恋がしたい！戀 SP,2014,7.1,302
中二病也要谈恋爱！恋 Lite 中二病でも恋がしたい！戀 Lite,2013,7.6,876
中二病也要谈恋爱！恋 中二病でも恋がしたい！戀,2014,7.2,5365
中二病也要谈恋爱！ Lite 中二病でも恋がしたい！ Lite,2012,8.3,4416
剧场版 中二病也要谈恋爱！ Lite 映画 中二病でも恋がしたい！ Lite,2013,7.1,174
小鸟游六花·改 剧场版 中二病也要谈恋爱！ 小鳥遊六花・改 ～劇場版 中二病でも恋がしたい！～,2013,6.6,845
中二病也要谈恋爱！ 闪耀的圣爆诞祭 中二病でも恋がしたい！ 煌めきの…聖爆誕祭,2013,8.2,1949
中二病也要谈恋爱！ 中二病でも恋がしたい！,2012,8,21411
日常 ETV版,2012,9.2,1445
