Title,Release_date,Rating_num,Pop
TARI TARI OVA,2014,7.8,192
朝花夕誓：于离别之朝束起约定之花 さよならの朝に約束の花をかざろう,2018,7.4,278
天狼 Sirius the Jaeger,2018,8.5,305
赛马娘 Pretty Derby ウマ娘 プリティーダービー,2018,7.7,283
樱花任务 サクラクエスト,2017,7.8,1159
黑骸 クロムクロ,2016,6.6,479
春&夏事件簿：春太与千夏的青春 ハルチカ ～ハルタとチカは青春する～,2016,6.2,556
来自风平浪静的明天 凪のあすから,2013,8.1,4521
有顶天家族 有頂天家族,2013,8.9,9986
有顶天家族2 有頂天家族2,2017,9.1,2839
夏洛特 Charlotte（シャーロット）,2015,6.6,6248
恋旅～True Tours Nanto～,2013,7.5,812
玻璃之唇 グラスリップ,2014,5.8,958
RDG濒危物种少女 RDG レッドデータガール,2013,7.1,3203
TARI TARI,2012,7.9,4063
替身 Another,2012,7.7,20591
花开伊吕波剧场版：甜蜜的家 劇場版 花咲くいろは HOME SWEET HOME,2013,8.5,2660
花开伊吕波 花咲くいろは,2011,8.3,15327
小舞的魔法与家庭日 マイの魔法と家庭の日,2011,6,32
迦南 CANAAN,2009,7.8,7654
第三飞行少女队 第三飛行少女隊,2015,7.9,481
Exodus! えくそだすっ！,2015,7.7,570
白箱 SHIROBAKO,2014,9.4,6626
真实之泪 true tears,2008,8.1,4925
天使的心跳特别篇：地狱厨房 Angel Beats! Hell's Kitchen,2015,6.8,394
天使的心跳特别篇：通向天堂的阶梯 Angel Beats! Stairway to Heaven,2010,7.8,1905
天使的心跳：另一个后记 Angel Beats! ANOTHER EPILOGUE,2010,7.7,1034
天使的心跳 Angel Beats!,2010,8.1,16063
