Title,Release_date,Rating_num,Pop
DARLING in the FRANXX ダーリン・イン・ザ・フランキス,2018,7,6219
宇宙巡警露露子 宇宙パトロールルル子,2016,8.7,2130
羁绊者 キズナイーバー,2016,6.7,686
忍者杀手SE版 ニンジャスレイヤー フロムアニメイシヨン スペシャル・エディシヨン版,2016,8.4,217
忍者杀手 ニンジャスレイヤー,2015,7.7,338
Sex and Violence with Mach Speed,2015,7.9,291
电光超人古立特 boys invent great hero 電光超人グリッドマン boys invent great hero,2015,6.5,108
日常系的异能战斗 異能バトルは日常系のなかで,2014,6.7,1175
双斩少女 キルラキル,2013,8.9,9813
四百二十连败女孩 四百二十連敗ガール,2013,暂无评分,<10
小魔女学园 TV版 リトルウィッチアカデミア,2017,8.8,4251
小魔女学园：魔法游行 リトルウィッチアカデミア 魔法仕掛けのパレード,2015,8.7,1289
小魔女学园 リトル ウィッチ アカデミア,2013,8.7,1987
